libra_field,jsonpath,container,funcapp_xhibit_status,funcapp_libra_action,canonical_field,canonical_status,pcfdlrm_field,pcfdlrm_status,progression_field,progression_status,change_required,change_type,change_detail,tier,notes
summonsCode,$.migratedCase.caseDetails.summonsCode,caseDetails,not_validated,declare,n/a,added_not_in_canonical,case-details.json#summonsCode (type=string),exists_same_name,prosecutionCase.json#summonsCode,exists_optional,yes,add-optional-field,"Canonical: add summonsCode to caseDetails as optional (the object is closed, so an undeclared field is a terminal 4xx). Add to caseDetails as optional; live end to end. Func-app: declare summonsCode as optional in the new LIBRA schema — the generated caseDetails is closed (additionalProperties:false), so an undeclared field is rejected at the gate; XHIBIT's own file is unchanged",1-drop-in,LIBRA sheet row 13; Add to caseDetails as optional; live end to end
driverNumber,$.migratedCase.defendants[*].driverNumber,defendants[*],not_validated,not-validated-at-gate,n/a,added_not_in_canonical,individual.json#driverNumber (type=string maxLength=16),exists_same_name,personDefendant.json#driverNumber,exists_optional,yes,add-optional-field,"Canonical: add driverNumber to defendants[*] as optional (the object is closed, so an undeclared field is a terminal 4xx). Add to INDIVIDUAL (not defendant) as optional; identical in PCFDLRM, live in core",1-drop-in,"LIBRA sheet row 77; Add to INDIVIDUAL (not defendant) as optional; identical in PCFDLRM, live in core"
nationalInsuranceNumber,$.migratedCase.defendants[*].nationalInsuranceNumber,defendants[*],not_validated,not-validated-at-gate,n/a,added_not_in_canonical,individual.json#nationalInsuranceNumber ($ref=nationalInsuranceNumber),exists_same_name,person.json#nationalInsuranceNumber,exists_optional,yes,add-optional-field,"Canonical: add nationalInsuranceNumber to defendants[*] as optional (the object is closed, so an undeclared field is a terminal 4xx). Add to INDIVIDUAL as optional — stagingDLRM's own pcf-definitions.json already defines the pattern but references it nowhere, so this is a one-line $ref. Live end to end",1-drop-in,"LIBRA sheet row 92; Add to INDIVIDUAL as optional — stagingDLRM's own pcf-definitions.json already defines the pattern but references it nowhere, so this is a one-line $ref. Live end to end"
occupation,$.migratedCase.defendants[*].occupation,defendants[*],not_validated,not-validated-at-gate,n/a,added_not_in_canonical,personal-information.json#occupation (type=string maxLength=54),exists_same_name,person.json#occupation,exists_optional,yes,add-optional-field,"Canonical: add occupation to defendants[*] as optional (the object is closed, so an undeclared field is a terminal 4xx). Add to PERSONAL-INFORMATION (not defendant) as optional; identical in PCFDLRM, live in core",1-drop-in,"LIBRA sheet row 75; Add to PERSONAL-INFORMATION (not defendant) as optional; identical in PCFDLRM, live in core"
backDuty,$.migratedCase.defendants[*].offences[*].backDuty,defendants[*].offences[*],not_validated,not-validated-at-gate,n/a,added_not_in_canonical,migrated/migrated-offence.json#backDuty (type=number),exists_same_name,n/a,no_field,yes,add-optional-field,"Canonical: add backDuty to defendants[*].offences[*] as optional (the object is closed, so an undeclared field is a terminal 4xx). Add to offence as optional; drop the generator's minimum:0. Core has backDuty only in sjp-public-model/financialPenalty.json and discharge.json, neither reachable from the courtReferral payload",1-drop-in,"LIBRA sheet row 142; Add to offence as optional; drop the generator's minimum:0. Core has backDuty only in sjp-public-model/financialPenalty.json and discharge.json, neither reachable from the courtReferral payload"
backDutyDateFrom,$.migratedCase.defendants[*].offences[*].backDutyDateFrom,defendants[*].offences[*],not_validated,not-validated-at-gate,n/a,added_not_in_canonical,migrated/migrated-offence.json#backDutyDateFrom ($ref=date),exists_same_name,n/a,no_field,yes,add-optional-field,"Canonical: add backDutyDateFrom to defendants[*].offences[*] as optional (the object is closed, so an undeclared field is a terminal 4xx). Add to offence as optional; $ref date, identical in PCFDLRM. No core case-model field",1-drop-in,"LIBRA sheet row 143; Add to offence as optional; $ref date, identical in PCFDLRM. No core case-model field"
backDutyDateTo,$.migratedCase.defendants[*].offences[*].backDutyDateTo,defendants[*].offences[*],not_validated,not-validated-at-gate,n/a,added_not_in_canonical,migrated/migrated-offence.json#backDutyDateTo ($ref=date),exists_same_name,n/a,no_field,yes,add-optional-field,"Canonical: add backDutyDateTo to defendants[*].offences[*] as optional (the object is closed, so an undeclared field is a terminal 4xx). Add to offence as optional; $ref date, identical in PCFDLRM. No core case-model field",1-drop-in,"LIBRA sheet row 144; Add to offence as optional; $ref date, identical in PCFDLRM. No core case-model field"
prosecutorOfferAOCP,$.migratedCase.defendants[*].offences[*].prosecutorOfferAOCP,defendants[*].offences[*],not_validated,not-validated-at-gate,n/a,added_not_in_canonical,migrated/migrated-offence.json#prosecutorOfferAOCP (type=boolean),exists_same_name,n/a,no_field,yes,add-optional-field,"Canonical: add prosecutorOfferAOCP to defendants[*].offences[*] as optional (the object is closed, so an undeclared field is a terminal 4xx). Add to offence as optional; boolean, identical in PCFDLRM. No core case-model field",1-drop-in,"LIBRA sheet row 148; Add to offence as optional; boolean, identical in PCFDLRM. No core case-model field"
statementOfFacts,$.migratedCase.defendants[*].offences[*].statementOfFacts,defendants[*].offences[*],not_validated,not-validated-at-gate,n/a,added_not_in_canonical,migrated/migrated-offence.json#statementOfFacts (type=string maxLength=4000),exists_same_name,prosecutionCase.json#statementOfFacts,exists_optional,yes,add-optional-field,"Canonical: add statementOfFacts to defendants[*].offences[*] as optional (the object is closed, so an undeclared field is a terminal 4xx). Add to offence as optional; identical in PCFDLRM. NOTE core holds it at CASE level, not per offence — multi-offence LIBRA text collapses at the Progression hop",1-drop-in,"LIBRA sheet row 139; Add to offence as optional; identical in PCFDLRM. NOTE core holds it at CASE level, not per offence — multi-offence LIBRA text collapses at the Progression hop"
statementOfFactsWelsh,$.migratedCase.defendants[*].offences[*].statementOfFactsWelsh,defendants[*].offences[*],not_validated,not-validated-at-gate,n/a,added_not_in_canonical,migrated/migrated-offence.json#statementOfFactsWelsh (type=string maxLength=4000),exists_same_name,prosecutionCase.json#statementOfFactsWelsh,exists_optional,yes,add-optional-field,"Canonical: add statementOfFactsWelsh to defendants[*].offences[*] as optional (the object is closed, so an undeclared field is a terminal 4xx). Add to offence as optional; identical in PCFDLRM. Core holds it at CASE level",1-drop-in,LIBRA sheet row 140; Add to offence as optional; identical in PCFDLRM. Core holds it at CASE level
